application_id,job_id,candidate_id,selected
APP0000001,JOB0000001,CAND0000001,0
APP0000002,JOB0000002,CAND0000002,1
APP0000003,JOB0000003,CAND0000003,1
APP0000004,JOB0000004,CAND0000004,0
APP0000005,JOB0000005,CAND0000005,1
APP0000006,JOB0000006,CAND0000006,0
APP0000007,JOB0000007,CAND0000007,0
APP0000008,JOB0000008,CAND0000008,1
APP0000009,JOB0000009,CAND0000009,1
APP0000010,JOB0000010,CAND0000010,0
APP0000011,JOB0000011,CAND0000011,0
APP0000012,JOB0000012,CAND0000012,1
APP0000013,JOB0000013,CAND0000013,0
APP0000014,JOB0000014,CAND0000014,1
APP0000015,JOB0000015,CAND0000015,0
APP0000016,JOB0000016,CAND0000016,0
APP0000017,JOB0000017,CAND0000017,1
APP0000018,JOB0000018,CAND0000018,0
APP0000019,JOB0000019,CAND0000019,1
APP0000020,JOB0000020,CAND0000020,1
APP0000021,JOB0000021,CAND0000021,0
APP0000022,JOB0000022,CAND0000022,0
APP0000023,JOB0000023,CAND0000023,1
APP0000024,JOB0000024,CAND0000024,0
APP0000025,JOB0000025,CAND0000025,0
APP0000026,JOB0000026,CAND0000026,1
APP0000027,JOB0000027,CAND0000027,1
APP0000028,JOB0000028,CAND0000028,1
APP0000029,JOB0000029,CAND0000029,0
APP0000030,JOB0000030,CAND0000030,1
APP0000031,JOB0000031,CAND0000031,0
APP0000032,JOB0000032,CAND0000032,1
APP0000033,JOB0000033,CAND0000033,0
APP0000034,JOB0000034,CAND0000034,1
APP0000035,JOB0000035,CAND0000035,1
APP0000036,JOB0000036,CAND0000036,0
APP0000037,JOB0000037,CAND0000037,1
APP0000038,JOB0000038,CAND0000038,0
APP0000039,JOB0000039,CAND0000039,1
APP0000040,JOB0000040,CAND0000040,0
APP0000041,JOB0000041,CAND0000041,1
APP0000042,JOB0000042,CAND0000042,1
APP0000043,JOB0000043,CAND0000043,0
APP0000044,JOB0000044,CAND0000044,1
APP0000045,JOB0000045,CAND0000045,0
APP0000046,JOB0000046,CAND0000046,1
APP0000047,JOB0000047,CAND0000047,1
APP0000048,JOB0000048,CAND0000048,1
APP0000049,JOB0000049,CAND0000049,0
APP0000050,JOB0000050,CAND0000050,1
APP0000051,JOB0000051,CAND0000051,1
APP0000052,JOB0000052,CAND0000052,1
APP0000053,JOB0000053,CAND0000053,0
APP0000054,JOB0000054,CAND0000054,0
APP0000055,JOB0000055,CAND0000055,0
APP0000056,JOB0000056,CAND0000056,0
APP0000057,JOB0000057,CAND0000057,0
APP0000058,JOB0000058,CAND0000058,1
APP0000059,JOB0000059,CAND0000059,1
APP0000060,JOB0000060,CAND0000060,0
APP0000061,JOB0000061,CAND0000061,0
APP0000062,JOB0000062,CAND0000062,0
APP0000063,JOB0000063,CAND0000063,0
APP0000064,JOB0000064,CAND0000064,0
APP0000065,JOB0000065,CAND0000065,1
APP0000066,JOB0000066,CAND0000066,1
APP0000067,JOB0000067,CAND0000067,1
APP0000068,JOB0000068,CAND0000068,0
APP0000069,JOB0000069,CAND0000069,0
APP0000070,JOB0000070,CAND0000070,0
APP0000071,JOB0000071,CAND0000071,1
APP0000072,JOB0000072,CAND0000072,0
APP0000073,JOB0000073,CAND0000073,1
APP0000074,JOB0000074,CAND0000074,1
APP0000075,JOB0000075,CAND0000075,1
